rabbitmq-3-1  | 2026-08-30 17:17:58.807110+00:00 [info] <0.2446.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING/msg_store_transient' is stopped[0m
rabbitmq-3-1  | 2026-08-30 17:17:58.808460+00:00 [info] <0.2508.0> Deleting message store directory for vhost 'atlas-secops-1788110260152515000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING'[0m
rabbitmq-3-1  | 2026-08-30 17:18:05.605090+00:00 [info] <0.2534.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:18:05.621497+00:00 [info] <0.2539.0> User 'atlas-scenario-20260830t171233z40300' authenticated successfully[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 17:18:05.621698+00:00 [warning] <0.2539.0> HTTP access denied: user 'atlas-scenario-20260830t171233z40300' - Not management user[0m
rabbitmq-3-1  | 2026-08-30 17:18:09.862664+00:00 [info] <0.2597.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:18:28.359609+00:00 [info] <0.2689.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:18:48.257391+00:00 [info] <0.2770.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:19:05.169840+00:00 [info] <0.2858.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:19:48.776860+00:00 [info] <0.3021.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:20:12.712164+00:00 [info] <0.3134.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:20:14.750162+00:00 [info] <0.3139.0> accepting AMQP connection 172.29.0.1:50696 -> 172.29.0.2:5672[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 17:20:14.764572+00:00 [warning] <0.3139.0> closing AMQP connection <0.3139.0> (172.29.0.1:50696 -> 172.29.0.2:5672, duration: '14ms'):[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 17:20:14.764572+00:00 [warning] <0.3139.0> client unexpectedly closed TCP connection[0m
rabbitmq-3-1  | 2026-08-30 17:20:23.765873+00:00 [info] <0.3201.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:20:30.355831+00:00 [info] <0.3210.0> accepting AMQP connection 172.29.0.1:44458 -> 172.29.0.2:5672[0m
rabbitmq-3-1  | 2026-08-30 17:20:30.556320+00:00 [info] <0.3210.0> User 'atlas' authenticated successfully[0m
