rabbitmq-3-1  |
rabbitmq-3-1  | 2026-08-30 14:37:54.194134+00:00 [info] <0.209.0> Running boot step rabbit_mgmt_db_handler defined by app rabbitmq_management_agent[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.194336+00:00 [info] <0.209.0> Management plugin: using rates mode 'basic'[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.195466+00:00 [info] <0.209.0> Running boot step recovery defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.195802+00:00 [info] <0.817.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L' for vhost '/' exists[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.208260+00:00 [info] <0.817.0> Starting message stores for vhost '/'[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.211280+00:00 [info] <0.817.0> Started message store of type transient for vhost '/'[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.237081+00:00 [info] <0.817.0> Started message store of type persistent for vhost '/'[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.237239+00:00 [info] <0.817.0> Recovering 0 queues of type rabbit_classic_queue took 35ms[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.237265+00:00 [info] <0.817.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.237331+00:00 [info] <0.817.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.237558+00:00 [info] <0.209.0> Running boot step prevent_startup_if_node_was_reset defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.237588+00:00 [info] <0.209.0> Running boot step empty_db_check defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.237688+00:00 [info] <0.209.0> Will not seed default virtual host and user: have definitions to load...[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.237718+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.237801+00:00 [info] <0.209.0> Running boot step rabbit_core_metrics_gc defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.237918+00:00 [info] <0.209.0> Running boot step background_gc defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.238021+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli_classic_queues defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.238052+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli_quorum_queues defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.238146+00:00 [info] <0.209.0> Running boot step routing_ready defined by app rabbit[0m
