rabbitmq-2-1  | 2026-08-30 14:41:49.515455+00:00 [info] <0.2693.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:41:59.943325+00:00 [info] <0.2784.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:42:18.970386+00:00 [info] <0.2939.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:42:27.394048+00:00 [info] <0.3046.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:42:30.509914+00:00 [info] <0.3090.0> accepting AMQP connection 192.168.80.1:42418 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:42:30.516042+00:00 [warning] <0.3090.0> closing AMQP connection <0.3090.0> (192.168.80.1:42418 -> 192.168.80.2:5672, duration: '7ms'):[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:42:30.516042+00:00 [warning] <0.3090.0> client unexpectedly closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:42:32.016175+00:00 [info] <0.3111.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:42:34.693527+00:00 [info] <0.3159.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:42:34.707600+00:00 [info] <0.3164.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:42:35.733326+00:00 [info] <0.3190.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:42:39.856585+00:00 [info] <0.3249.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:42:45.654337+00:00 [error] <0.3292.0> ** Connection attempt from node 'rabbit_ctl_99@rabbitmq-2' rejected. Invalid challenge reply. **[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:42:45.654337+00:00 [error] <0.3292.0> [0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:42:45.673707+00:00 [error] <0.3294.0> ** Connection attempt from node 'rabbit_ctl_99@rabbitmq-2' rejected. Invalid challenge reply. **[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:42:45.673707+00:00 [error] <0.3294.0> [0m
rabbitmq-2-1  | 2026-08-30 14:42:50.197231+00:00 [info] <0.3314.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:43:06.574989+00:00 [info] <0.3383.0> queue 'atlas.1788100986247897000.performance.quorum' in vhost '/': granting vote for {'%2F_atlas.1788100986247897000.performance.quorum','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-2-1  | 2026-08-30 14:43:06.578441+00:00 [info] <0.3383.0> queue 'atlas.1788100986247897000.performance.quorum' in vhost '/': detected a new leader {'%2F_atlas.1788100986247897000.performance.quorum','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:43:07.108338+00:00 [notice] <0.3383.0> queue 'atlas.1788100986247897000.performance.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-2-1  | 2026-08-30 14:43:07.113591+00:00 [info] <0.3391.0> Deleting server '%2F_atlas.1788100986247897000.performance.quorum' and its data directory.[0m
rabbitmq-2-1  | 2026-08-30 14:43:07.126271+00:00 [info] <0.3393.0> rabbit_stream_coordinator: started writer __atlas_1788100986247897000_performance_stream_1788100987119661264 on 'rabbit@rabbitmq-1' in 1[0m
rabbitmq-2-1  | 2026-08-30 14:43:07.129195+00:00 [info] <0.3397.0> Stream: __atlas_1788100986247897000_performance_stream_1788100987119661264 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/stream/__atlas_1788100986247897000_performance_stream_1788100987119661264 for osiris log data directory[0m
rabbitmq-2-1  | 2026-08-30 14:43:07.131347+00:00 [info] <0.3397.0> __atlas_1788100986247897000_performance_stream_1788100987119661264 [osiris_replica:handle_continue/2] osiris replica starting in epoch 1, next offset 0, tail info {0,empty}[0m
rabbitmq-2-1  | 2026-08-30 14:43:07.137874+00:00 [info] <0.3395.0> rabbit_stream_coordinator: __atlas_1788100986247897000_performance_stream_1788100987119661264: replica started on rabbit@rabbitmq-2 in 1 pid <0.3397.0>[0m
rabbitmq-2-1  | 2026-08-30 14:43:07.139820+00:00 [info] <0.3394.0> rabbit_stream_coordinator: __atlas_1788100986247897000_performance_stream_1788100987119661264: replica started on rabbit@rabbitmq-3 in 1 pid <15328.3344.0>[0m
rabbitmq-2-1  | 2026-08-30 14:43:07.657127+00:00 [info] <0.3401.0> rabbit_stream_coordinator: Member deleted for __atlas_1788100986247897000_performance_stream_1788100987119661264 : on node rabbit@rabbitmq-3[0m
rabbitmq-2-1  | 2026-08-30 14:43:07.657475+00:00 [info] <0.3403.0> rabbit_stream_coordinator: Member deleted for __atlas_1788100986247897000_performance_stream_1788100987119661264 : on node rabbit@rabbitmq-2[0m
rabbitmq-2-1  | 2026-08-30 14:43:07.659133+00:00 [info] <0.3402.0> rabbit_stream_coordinator: Member deleted for __atlas_1788100986247897000_performance_stream_1788100987119661264 : on node rabbit@rabbitmq-1[0m
