rabbitmq-1-1  |   TLS Library: OpenSSL - OpenSSL 3.5.8 25 Aug 2026
rabbitmq-1-1  | 2026-08-30 14:43:49.598289+00:00 [info] <0.209.0> Running boot step cluster_tags defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.599743+00:00 [info] <0.209.0> Running boot step queue_type_registrations defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.599794+00:00 [info] <0.209.0> Running boot step rabbit_management_load_definitions defined by app rabbitmq_management[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.600015+00:00 [info] <0.869.0> Resetting node maintenance status[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.609562+00:00 [warning] <0.886.0> Deprecated features: `management_metrics_collection`: Feature `management_metrics_collection` is deprecated.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.609562+00:00 [warning] <0.886.0> By default, this feature can still be used for now.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.609562+00:00 [warning] <0.886.0> Its use will not be permitted by default in a future minor RabbitMQ version and the feature will be removed from a future major RabbitMQ version; actual versions to be determined.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.609562+00:00 [warning] <0.886.0> To continue using this feature when it is not permitted by default, set the following parameter in your configuration:[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.609562+00:00 [warning] <0.886.0>     "deprecated_features.permit.management_metrics_collection = true"[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.609562+00:00 [warning] <0.886.0> To test RabbitMQ as if the feature was removed, set this in your configuration:[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.609562+00:00 [warning] <0.886.0>     "deprecated_features.permit.management_metrics_collection = false"[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.647225+00:00 [info] <0.922.0> Management plugin: HTTP (non-TLS) listener started on port 15672[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.647419+00:00 [info] <0.950.0> Statistics database started.[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.647497+00:00 [info] <0.949.0> Starting worker pool 'management_worker_pool' with 3 processes in it[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.662282+00:00 [info] <0.961.0> Prometheus metrics: HTTP (non-TLS) listener started on port 15692[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.662418+00:00 [info] <0.869.0> Ready to start client connection listeners[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.664153+00:00 [info] <0.1005.0> started TCP listener on [::]:5672[0m
rabbitmq-1-1  |  completed with 4 plugins.
rabbitmq-1-1  | 2026-08-30 14:43:49.746173+00:00 [info] <0.869.0> Server startup complete; 4 plugins started.[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.746173+00:00 [info] <0.869.0>  * rabbitmq_prometheus[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.746173+00:00 [info] <0.869.0>  * rabbitmq_management[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.746173+00:00 [info] <0.869.0>  * rabbitmq_management_agent[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.746173+00:00 [info] <0.869.0>  * rabbitmq_web_dispatch[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.801771+00:00 [info] <0.10.0> Time to start RabbitMQ: 7236 ms[0m
