rabbitmq-1-1  | [38;5;87m2026-08-30 14:23:23.900739+00:00 [notice] <0.2568.0> queue 'atlas.1788099799269440000.quorum' in vhost '/': candidate -> leader in term: 1 machine version: 8, last applied 0[0m
rabbitmq-1-1  | 2026-08-30 14:23:23.902406+00:00 [info] <0.2561.0> ra: started cluster '%2F_atlas.1788099799269440000.quorum' with 3 servers. 0 servers failed to start: []. Leader: {'%2F_atlas.1788099799269440000.quorum','rabbit@rabbitmq-1'}[0m
rabbitmq-1-1  | 2026-08-30 14:23:23.902496+00:00 [info] <0.2561.0> queue 'atlas.1788099799269440000.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.203406+00:00 [info] <0.2585.0> Stream: __atlas_1788099799269440000_stream_1788099804047019522 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/stream/__atlas_1788099799269440000_stream_1788099804047019522 for osiris log data directory[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.203607+00:00 [info] <0.2584.0> rabbit_stream_coordinator: started writer __atlas_1788099799269440000_stream_1788099804047019522 on 'rabbit@rabbitmq-1' in 1[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.324823+00:00 [info] <0.2591.0> __atlas_1788099799269440000_stream_1788099804047019522 [osiris_replica_reader:init/1] replica reader successfully connected to host {192,168,80,3} port 6022[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.326809+00:00 [info] <0.2585.0> osiris_writer:init/1: name: __atlas_1788099799269440000_stream_1788099804047019522 committed offset: -1 committed chunk id: -1 epoch: 1[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.326975+00:00 [info] <0.2591.0> __atlas_1788099799269440000_stream_1788099804047019522 [osiris_replica_reader:init/1] starting osiris replica reader at offset 0[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.328637+00:00 [info] <0.2592.0> __atlas_1788099799269440000_stream_1788099804047019522 [osiris_replica_reader:init/1] replica reader successfully connected to host {192,168,80,2} port 6300[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.328825+00:00 [info] <0.2586.0> rabbit_stream_coordinator: __atlas_1788099799269440000_stream_1788099804047019522: replica started on rabbit@rabbitmq-3 in 1 pid <15328.2405.0>[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.332379+00:00 [info] <0.2592.0> __atlas_1788099799269440000_stream_1788099804047019522 [osiris_replica_reader:init/1] starting osiris replica reader at offset 0[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.348232+00:00 [info] <0.2587.0> rabbit_stream_coordinator: __atlas_1788099799269440000_stream_1788099804047019522: replica started on rabbit@rabbitmq-2 in 1 pid <15327.2383.0>[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.506377+00:00 [info] <0.2585.0> osiris_writer:terminate/2: name __atlas_1788099799269440000_stream_1788099804047019522 reason: shutdown[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.511265+00:00 [info] <0.2604.0> rabbit_stream_coordinator: Member deleted for __atlas_1788099799269440000_stream_1788099804047019522 : on node rabbit@rabbitmq-1[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.513974+00:00 [info] <0.2602.0> rabbit_stream_coordinator: Member deleted for __atlas_1788099799269440000_stream_1788099804047019522 : on node rabbit@rabbitmq-3[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.514365+00:00 [info] <0.2603.0> rabbit_stream_coordinator: Member deleted for __atlas_1788099799269440000_stream_1788099804047019522 : on node rabbit@rabbitmq-2[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:23:24.534284+00:00 [notice] <0.2568.0> queue 'atlas.1788099799269440000.quorum' in vhost '/': leader -> terminating_leader in term: 1 machine version: 8, last applied 7[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:23:24.536136+00:00 [notice] <0.2568.0> queue 'atlas.1788099799269440000.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.543693+00:00 [info] <15327.2390.0> Deleting server '%2F_atlas.1788099799269440000.quorum' and its data directory.[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.548644+00:00 [info] <15328.2410.0> Deleting server '%2F_atlas.1788099799269440000.quorum' and its data directory.[0m
rabbitmq-1-1  | 2026-08-30 14:23:24.701914+00:00 [info] <0.2412.0> closing AMQP connection (192.168.80.1:42257 -> 192.168.80.4:5672, vhost: '/', user: 'atlas', duration: '5s')[0m
rabbitmq-1-1  | 2026-08-30 14:23:25.020369+00:00 [info] <0.2625.0> User 'atlas' authenticated successfully[0m
