rabbitmq-1-1  | 2026-08-30 17:23:22.347895+00:00 [info] <0.3913.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:22.604064+00:00 [info] <0.3914.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:22.863264+00:00 [info] <0.3915.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:23.130427+00:00 [info] <0.3916.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:23.389763+00:00 [info] <0.3917.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:23.651382+00:00 [info] <0.3918.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:23.910657+00:00 [info] <0.3919.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:24.170198+00:00 [info] <0.3920.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:24.427335+00:00 [info] <0.3921.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:24.728313+00:00 [info] <0.3924.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:25.005749+00:00 [info] <0.3925.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:25.117318+00:00 [info] <0.3927.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:25.132831+00:00 [info] <0.3852.0> closing AMQP connection (172.29.0.1:16050 -> 172.29.0.4:5672, vhost: '/', user: 'atlas', duration: '13s')[0m
rabbitmq-1-1  | 2026-08-30 17:23:32.215594+00:00 [info] <0.3938.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:32.245368+00:00 [info] <0.3945.0> accepting AMQP connection 172.29.0.1:34695 -> 172.29.0.4:5672[0m
rabbitmq-1-1  | 2026-08-30 17:23:32.250168+00:00 [info] <0.3945.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:32.252582+00:00 [info] <0.3945.0> connection 172.29.0.1:34695 -> 172.29.0.4:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 17:23:32.278659+00:00 [info] <0.3959.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:34.427442+00:00 [info] <0.3961.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:23:34.479132+00:00 [info] <0.3969.0> queue 'atlas.1788110612253864000.performance.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 17:23:34.479238+00:00 [info] <0.3969.0> queue 'atlas.1788110612253864000.performance.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 17:23:34.479267+00:00 [info] <0.3969.0> queue 'atlas.1788110612253864000.performance.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
