rabbitmq-2-1  | 2026-08-30 14:23:34.409004+00:00 [info] <0.2441.0> User 'atlas-secops-1788099805014730000-user' authenticated successfully[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:23:34.417898+00:00 [error] <0.2441.0> Error on AMQP connection <0.2441.0> (192.168.80.1:38727 -> 192.168.80.2:5672, user: 'atlas-secops-1788099805014730000-user', state: opening):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:23:34.417898+00:00 [error] <0.2441.0> access to vhost '/' refused for user 'atlas-secops-1788099805014730000-user'[0m
rabbitmq-2-1  | 2026-08-30 14:23:34.422459+00:00 [info] <0.2441.0> closing AMQP connection (192.168.80.1:38727 -> 192.168.80.2:5672, vhost: 'none', user: 'atlas-secops-1788099805014730000-user', duration: '48ms')[0m
rabbitmq-2-1  | 2026-08-30 14:23:37.626287+00:00 [info] <0.2450.0> accepting AMQP connection 192.168.80.1:62448 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:23:37.632872+00:00 [warning] <0.2450.0> User 'atlas-secops-1788099805014730000-user' failed to authenticate: user 'atlas-secops-1788099805014730000-user' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:23:37.633458+00:00 [error] <0.2450.0> Error on AMQP connection <0.2450.0> (192.168.80.1:62448 -> 192.168.80.2:5672, state: starting):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:23:37.633458+00:00 [error] <0.2450.0> PLAIN login refused: user 'atlas-secops-1788099805014730000-user' - invalid credentials[0m
rabbitmq-2-1  | 2026-08-30 14:23:40.630847+00:00 [info] <0.2450.0> closing AMQP connection (192.168.80.1:62448 -> 192.168.80.2:5672, duration: '3s')[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.681342+00:00 [info] <0.2461.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.829842+00:00 [info] <0.2471.0> Stopping vhost supervisor <0.2400.0> for vhost 'atlas-secops-1788099805014730000'[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.830397+00:00 [info] <0.2401.0> Virtual host 'atlas-secops-1788099805014730000' is stopping[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.830677+00:00 [info] <0.2472.0> Closing all connections in vhost 'atlas-secops-1788099805014730000' on node 'rabbit@rabbitmq-2' because the vhost is stopping[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.830739+00:00 [info] <0.2412.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/6V8HXZ15DVA4N4XP9IBTFNLKB/msg_store_persistent'[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.840549+00:00 [info] <0.2412.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/6V8HXZ15DVA4N4XP9IBTFNLKB/msg_store_persistent' is stopped[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.840763+00:00 [info] <0.2408.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/6V8HXZ15DVA4N4XP9IBTFNLKB/msg_store_transient'[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.844340+00:00 [info] <0.2408.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/6V8HXZ15DVA4N4XP9IBTFNLKB/msg_store_transient' is stopped[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.845105+00:00 [info] <0.2471.0> Deleting message store directory for vhost 'atlas-secops-1788099805014730000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/6V8HXZ15DVA4N4XP9IBTFNLKB'[0m
rabbitmq-2-1  | 2026-08-30 14:23:47.891964+00:00 [info] <0.2490.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:23:47.902963+00:00 [info] <0.2495.0> User 'atlas-scenario-20260830t141832z3367' authenticated successfully[0m
