rabbitmq-1-1  | 2026-08-30 14:26:02.469228+00:00 [info] <0.830.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L' for vhost '/' exists[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.476422+00:00 [info] <0.830.0> Starting message stores for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.480668+00:00 [info] <0.830.0> Started message store of type transient for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.482798+00:00 [info] <0.830.0> Started message store of type persistent for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.482875+00:00 [info] <0.830.0> Recovering 0 queues of type rabbit_classic_queue took 9ms[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.482896+00:00 [info] <0.830.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.482922+00:00 [info] <0.830.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.482995+00:00 [info] <0.215.0> Running boot step prevent_startup_if_node_was_reset defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.483077+00:00 [info] <0.215.0> Running boot step empty_db_check defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.483273+00:00 [info] <0.215.0> Will not seed default virtual host and user: have definitions to load...[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.483338+00:00 [info] <0.215.0> Running boot step rabbit_observer_cli defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.483399+00:00 [info] <0.215.0> Running boot step rabbit_core_metrics_gc defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.483543+00:00 [info] <0.215.0> Running boot step background_gc defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.483751+00:00 [info] <0.215.0> Running boot step rabbit_observer_cli_classic_queues defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.483797+00:00 [info] <0.215.0> Running boot step rabbit_observer_cli_quorum_queues defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.483830+00:00 [info] <0.215.0> Running boot step routing_ready defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.483847+00:00 [info] <0.215.0> Running boot step pre_flight defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.483909+00:00 [info] <0.215.0> Running boot step notify_cluster defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.483955+00:00 [info] <0.215.0> Running boot step networking defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.483980+00:00 [info] <0.215.0> Running boot step rabbit_quorum_queue_periodic_membership_reconciliation defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.483995+00:00 [info] <0.772.0> rabbit on node 'rabbit@rabbitmq-2' up[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.484053+00:00 [info] <0.215.0> Running boot step definition_import_worker_pool defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.484102+00:00 [info] <0.560.0> Starting worker pool 'definition_import_pool' with 12 processes in it[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.484208+00:00 [info] <0.772.0> rabbit on node 'rabbit@rabbitmq-3' up[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.484516+00:00 [info] <0.215.0> Running boot step cluster_name defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.484567+00:00 [info] <0.215.0> Running boot step virtual_host_reconciliation defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.487164+00:00 [info] <0.215.0> Running boot step direct_client defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.487255+00:00 [info] <0.215.0> Running boot step logger_exchange defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.489042+00:00 [info] <0.215.0> Running boot step cluster_tags defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.491482+00:00 [info] <0.215.0> Running boot step queue_type_registrations defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.491648+00:00 [info] <0.215.0> Running boot step rabbit_management_load_definitions defined by app rabbitmq_management[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.491889+00:00 [info] <0.872.0> Resetting node maintenance status[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:26:02.504380+00:00 [warning] <0.889.0> Deprecated features: `management_metrics_collection`: Feature `management_metrics_collection` is deprecated.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:26:02.504380+00:00 [warning] <0.889.0> By default, this feature can still be used for now.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:26:02.504380+00:00 [warning] <0.889.0> Its use will not be permitted by default in a future minor RabbitMQ version and the feature will be removed from a future major RabbitMQ version; actual versions to be determined.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:26:02.504380+00:00 [warning] <0.889.0> To continue using this feature when it is not permitted by default, set the following parameter in your configuration:[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:26:02.504380+00:00 [warning] <0.889.0>     "deprecated_features.permit.management_metrics_collection = true"[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:26:02.504380+00:00 [warning] <0.889.0> To test RabbitMQ as if the feature was removed, set this in your configuration:[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:26:02.504380+00:00 [warning] <0.889.0>     "deprecated_features.permit.management_metrics_collection = false"[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.542303+00:00 [info] <0.925.0> Management plugin: HTTP (non-TLS) listener started on port 15672[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.542461+00:00 [info] <0.953.0> Statistics database started.[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.542522+00:00 [info] <0.952.0> Starting worker pool 'management_worker_pool' with 3 processes in it[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.557603+00:00 [info] <0.964.0> Prometheus metrics: HTTP (non-TLS) listener started on port 15692[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.557863+00:00 [info] <0.872.0> Ready to start client connection listeners[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.562903+00:00 [info] <0.1008.0> started TCP listener on [::]:5672[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.608793+00:00 [info] <0.794.0> rabbit_stream_coordinator: follower did not have entry at 618 in 23. Requesting {rabbit_stream_coordinator,'rabbit@rabbitmq-2'} from 618[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.608882+00:00 [info] <0.794.0> rabbit_stream_coordinator: detected a new leader {rabbit_stream_coordinator,'rabbit@rabbitmq-2'} in term 23[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:26:02.608937+00:00 [warning] <0.794.0> rabbit_stream_coordinator: await_condition - Leader node 'rabbit@rabbitmq-2' might be down. Re-entering follower state.[0m
rabbitmq-1-1  |  completed with 4 plugins.
rabbitmq-1-1  | 2026-08-30 14:26:02.689952+00:00 [info] <0.872.0> Server startup complete; 4 plugins started.[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.689952+00:00 [info] <0.872.0>  * rabbitmq_prometheus[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.689952+00:00 [info] <0.872.0>  * rabbitmq_management[0m
