rabbitmq-3-1  | [38;5;87m2026-08-30 13:55:39.921922+00:00 [notice] <0.45.0> Application rabbitmq_stomp exited with reason: stopped[0m
rabbitmq-3-1  | 2026-08-30 13:55:39.931022+00:00 [info] <0.1848.0> Plugins changed; disabled [rabbitmq_stomp][0m
rabbitmq-3-1  | 2026-08-30 13:55:47.348961+00:00 [info] <0.1937.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-3-1  | 2026-08-30 13:55:47.348961+00:00 [info] <0.1937.0>     rabbitmq_stream[0m
rabbitmq-3-1  | 2026-08-30 13:55:47.348961+00:00 [info] <0.1937.0>     rabbitmq_stream_common[0m
rabbitmq-3-1  | 2026-08-30 13:55:47.348961+00:00 [info] <0.1937.0> [0m
rabbitmq-3-1  | 2026-08-30 13:55:47.349130+00:00 [info] <0.1937.0> Stopping application 'rabbitmq_stream'[0m
rabbitmq-3-1  | 2026-08-30 13:55:47.349379+00:00 [info] <0.1298.0> stopped Stream TCP listener on [::]:5552[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 13:55:47.353822+00:00 [notice] <0.45.0> Application rabbitmq_stream exited with reason: stopped[0m
rabbitmq-3-1  | 2026-08-30 13:55:47.353907+00:00 [info] <0.1937.0> Stopping application 'rabbitmq_stream_common'[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 13:55:47.353937+00:00 [notice] <0.45.0> Application rabbitmq_stream_common exited with reason: stopped[0m
rabbitmq-3-1  | 2026-08-30 13:55:47.366849+00:00 [info] <0.1937.0> Plugins changed; disabled [rabbitmq_stream,rabbitmq_stream_common][0m
rabbitmq-3-1  | 2026-08-30 13:55:49.192137+00:00 [info] <0.1978.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:55:51.564451+00:00 [info] <0.2037.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:55:53.797094+00:00 [info] <0.2096.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:55:56.213715+00:00 [info] <0.2163.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:55:58.955959+00:00 [info] <0.2222.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:56:02.990061+00:00 [info] <0.2281.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:56:09.568154+00:00 [info] <0.2314.0> queue 'atlas.1788098166172749000.quorum' in vhost '/': granting vote for {'%2F_atlas.1788098166172749000.quorum','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-3-1  | 2026-08-30 13:56:09.629619+00:00 [info] <0.2314.0> queue 'atlas.1788098166172749000.quorum' in vhost '/': detected a new leader {'%2F_atlas.1788098166172749000.quorum','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-3-1  | 2026-08-30 13:56:09.705887+00:00 [info] <0.2319.0> rabbit_stream_coordinator: started writer __atlas_1788098166172749000_stream_1788098169655465446 on 'rabbit@rabbitmq-1' in 1[0m
rabbitmq-3-1  | 2026-08-30 13:56:09.774241+00:00 [info] <0.2320.0> rabbit_stream_coordinator: __atlas_1788098166172749000_stream_1788098169655465446: replica started on rabbit@rabbitmq-2 in 1 pid <15328.2290.0>[0m
rabbitmq-3-1  | 2026-08-30 13:56:09.817727+00:00 [info] <0.2323.0> Stream: __atlas_1788098166172749000_stream_1788098169655465446 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/stream/__atlas_1788098166172749000_stream_1788098169655465446 for osiris log data directory[0m
rabbitmq-3-1  | 2026-08-30 13:56:09.859740+00:00 [info] <0.2323.0> __atlas_1788098166172749000_stream_1788098169655465446 [osiris_replica:handle_continue/2] osiris replica starting in epoch 1, next offset 0, tail info {0,empty}[0m
rabbitmq-3-1  | 2026-08-30 13:56:09.886495+00:00 [info] <0.2321.0> rabbit_stream_coordinator: __atlas_1788098166172749000_stream_1788098169655465446: replica started on rabbit@rabbitmq-3 in 1 pid <0.2323.0>[0m
rabbitmq-3-1  | 2026-08-30 13:56:09.955003+00:00 [info] <0.2327.0> rabbit_stream_coordinator: Member deleted for __atlas_1788098166172749000_stream_1788098169655465446 : on node rabbit@rabbitmq-3[0m
rabbitmq-3-1  | 2026-08-30 13:56:09.957616+00:00 [info] <0.2325.0> rabbit_stream_coordinator: Member deleted for __atlas_1788098166172749000_stream_1788098169655465446 : on node rabbit@rabbitmq-2[0m
rabbitmq-3-1  | 2026-08-30 13:56:09.957849+00:00 [info] <0.2326.0> rabbit_stream_coordinator: Member deleted for __atlas_1788098166172749000_stream_1788098169655465446 : on node rabbit@rabbitmq-1[0m
