rabbitmq-3-1  | 2026-08-30 14:41:21.956910+00:00 [info] <0.2369.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY/msg_store_persistent' is stopped[0m
rabbitmq-3-1  | 2026-08-30 14:41:21.957227+00:00 [info] <0.2365.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY/msg_store_transient'[0m
rabbitmq-3-1  | 2026-08-30 14:41:21.962217+00:00 [info] <0.2365.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY/msg_store_transient' is stopped[0m
rabbitmq-3-1  | 2026-08-30 14:41:21.963069+00:00 [info] <0.2429.0> Deleting message store directory for vhost 'atlas-secops-1788100863441087000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY'[0m
rabbitmq-3-1  | 2026-08-30 14:41:25.292121+00:00 [info] <0.2457.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:41:25.325120+00:00 [info] <0.2462.0> User 'atlas-scenario-20260830t143739z65535' authenticated successfully[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:41:25.325334+00:00 [warning] <0.2462.0> HTTP access denied: user 'atlas-scenario-20260830t143739z65535' - Not management user[0m
rabbitmq-3-1  | 2026-08-30 14:41:28.284310+00:00 [info] <0.2496.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:41:40.408197+00:00 [info] <0.2580.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:41:51.316932+00:00 [info] <0.2663.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:42:01.138502+00:00 [info] <0.2754.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:42:19.917745+00:00 [info] <0.2907.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:42:28.964207+00:00 [info] <0.3013.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:42:30.518734+00:00 [info] <0.3042.0> accepting AMQP connection 192.168.80.1:55506 -> 192.168.80.4:5672[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:42:30.524306+00:00 [warning] <0.3042.0> closing AMQP connection <0.3042.0> (192.168.80.1:55506 -> 192.168.80.4:5672, duration: '6ms'):[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:42:30.524306+00:00 [warning] <0.3042.0> client unexpectedly closed TCP connection[0m
rabbitmq-3-1  | 2026-08-30 14:42:33.192460+00:00 [info] <0.3078.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:42:34.715858+00:00 [info] <0.3117.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:42:34.727413+00:00 [info] <0.3122.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:42:36.739302+00:00 [info] <0.3157.0> User 'atlas' authenticated successfully[0m
