rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.569142+00:00 [warning] <0.813.0> Message store "2TGGST32FDOBKLHTI2FBJLRR7/msg_store_persistent": rebuilding indices from scratch[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.572183+00:00 [info] <0.800.0> Started message store of type persistent for vhost '/atlas-metadata-20260830T143739Z-65535'[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.572425+00:00 [info] <0.800.0> Recovering 0 queues of type rabbit_classic_queue took 46ms[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.572462+00:00 [info] <0.800.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.572488+00:00 [info] <0.800.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.572843+00:00 [info] <0.827.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L' for vhost '/' exists[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.585259+00:00 [info] <0.827.0> Starting message stores for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.588542+00:00 [info] <0.827.0> Started message store of type transient for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.590521+00:00 [info] <0.827.0> Started message store of type persistent for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.590694+00:00 [info] <0.827.0> Recovering 0 queues of type rabbit_classic_queue took 9ms[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.590745+00:00 [info] <0.827.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.590798+00:00 [info] <0.827.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.590945+00:00 [info] <0.209.0> Running boot step prevent_startup_if_node_was_reset defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.590998+00:00 [info] <0.209.0> Running boot step empty_db_check defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.591151+00:00 [info] <0.209.0> Will not seed default virtual host and user: have definitions to load...[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.591189+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.591259+00:00 [info] <0.209.0> Running boot step rabbit_core_metrics_gc defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.591534+00:00 [info] <0.209.0> Running boot step background_gc defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.591863+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli_classic_queues defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592021+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli_quorum_queues defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592110+00:00 [info] <0.209.0> Running boot step routing_ready defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592161+00:00 [info] <0.209.0> Running boot step pre_flight defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592258+00:00 [info] <0.209.0> Running boot step notify_cluster defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592342+00:00 [info] <0.769.0> rabbit on node 'rabbit@rabbitmq-2' up[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592290+00:00 [info] <0.209.0> Running boot step networking defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592578+00:00 [info] <0.209.0> Running boot step rabbit_quorum_queue_periodic_membership_reconciliation defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592814+00:00 [info] <0.769.0> rabbit on node 'rabbit@rabbitmq-3' up[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592934+00:00 [info] <0.209.0> Running boot step definition_import_worker_pool defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.593006+00:00 [info] <0.558.0> Starting worker pool 'definition_import_pool' with 12 processes in it[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.593484+00:00 [info] <0.209.0> Running boot step cluster_name defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.593553+00:00 [info] <0.209.0> Running boot step virtual_host_reconciliation defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.595756+00:00 [info] <0.209.0> Running boot step direct_client defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.595920+00:00 [info] <0.209.0> Running boot step logger_exchange defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.598289+00:00 [info] <0.209.0> Running boot step cluster_tags defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.599743+00:00 [info] <0.209.0> Running boot step queue_type_registrations defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.599794+00:00 [info] <0.209.0> Running boot step rabbit_management_load_definitions defined by app rabbitmq_management[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.600015+00:00 [info] <0.869.0> Resetting node maintenance status[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.609562+00:00 [warning] <0.886.0> Deprecated features: `management_metrics_collection`: Feature `management_metrics_collection` is deprecated.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.609562+00:00 [warning] <0.886.0> By default, this feature can still be used for now.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.609562+00:00 [warning] <0.886.0> Its use will not be permitted by default in a future minor RabbitMQ version and the feature will be removed from a future major RabbitMQ version; actual versions to be determined.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.609562+00:00 [warning] <0.886.0> To continue using this feature when it is not permitted by default, set the following parameter in your configuration:[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.609562+00:00 [warning] <0.886.0>     "deprecated_features.permit.management_metrics_collection = true"[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.609562+00:00 [warning] <0.886.0> To test RabbitMQ as if the feature was removed, set this in your configuration:[0m
